Station,Phase 1,Phase 2,Difference
Arlesey,445,1136,0.39
Bedford,2879,2883,1
Biggleswade,889,920,0.97
Flitwick,1333,1554,0.86
Harlington,0,392,0
Leagrave,936,2885,0.32
Leighton Buzzard,1546,1898,0.81
Luton,3708,2840,1.31
Luton Airport Parkway,118,403,0.29
Sandy,463,683,0.68
