Station,Phase 1,Phase 2,Takeup (Phase 1),Takeup (Phase 2)
Arlesey,61,469,0.14,0.41
Bedford,368,1208,0.13,0.42
Biggleswade,169,387,0.19,0.42
Flitwick,300,660,0.23,0.42
Harlington,0,147,0,0.38
Leagrave,172,1230,0.18,0.43
Leighton Buzzard,301,811,0.19,0.43
Luton,519,1227,0.14,0.43
Luton Airport Parkway,13,175,0.11,0.43
Sandy,59,288,0.13,0.42
