Station,Cycle spaces,Phase 1 Go Dutch,Phase 2 Go Dutch
Arlesey,67,61,469
Bedford,588,368,1208
Biggleswade,64,169,387
Flitwick,150,300,660
Harlington,44,0,147
Leagrave,80,172,1230
Leighton Buzzard,116,301,811
Luton,122,519,1227
Luton Airport Parkway,80,13,175
Sandy,20,59,288
