nearest_station,Commuters,% drive,% rail,% cycle,% active,% Go Dutch
Bedford Midland,67749,67,5,4,15,25
Leagrave,66206,68,5,2,12,20
Biggleswade,38555,75,8,2,10,15
Luton,37973,55,7,1,17,18
Flitwick,27035,77,9,1,8,11
Leighton Buzzard,21511,71,9,2,12,14
Luton Airport,10279,63,6,1,15,15
