"","station_used","rail","go_dutch"
"1","Arlesey",1136,469
"2","Bedford Midland",2883,1208
"3","Biggleswade",920,387
"4","Flitwick",1554,660
"5","Harlington",392,147
"6","Leagrave",2885,1230
"7","Leighton Buzzard",1898,811
"8","Luton",2840,1227
"9","Luton Airport",403,175
"10","Sandy",683,288
